"","full_states","Abortion_Salience"
"1","AL",12
"2","AK",14
"3","AZ",11
"4","AR",6
"5","CA",10
"6","CO",10
"7","CT",11
"8","DE",16
"9","FL",12
"10","GA",11
"11","HI",12
"12","ID",10
"13","IL",10
"14","IN",9
"15","IA",16
"16","KS",8
"17","KY",16
"18","LA",11
"19","ME",10
"20","MD",11
"21","MA",8
"22","MI",17
"23","MN",11
"24","MS",12
"25","MO",9
"26","MT",9
"27","NE",17
"28","NV",15
"29","NH",15
"30","NJ",11
"31","NM",13
"32","NY",14
"33","NC",11
"34","ND",11
"35","OH",9
"36","OK",12
"37","OR",14
"38","PA",12
"39","RI",13
"40","SC",10
"41","SD",7
"42","TN",11
"43","TX",11
"44","UT",7
"45","VT",5
"46","VA",10
"47","WA",11
"48","WV",5
"49","WI",10
"50","WY",11
